NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSGlobalAttributes,12,132,0,0,0,0,0,0
CSExpressionStat,1001,1001,0,0,0,0,0,0
CSSimpleName,1922,12916,0,0,0,0,0,0
CSNewObject,414,1242,0,0,4,12,0,0
CSExceptionSpec,1,4,0,0,0,0,0,0
CSParam,63,259,0,0,0,0,0,0
CSRankSpecifier,3,6,0,0,0,0,0,0
CSConstructor,8,99,0,0,0,0,0,0
CSExprMemberAccess,1558,1558,0,0,65,65,0,0
CSElse,9,36,0,0,0,0,0,0
CSTypeOf,4,32,0,0,0,0,0,0
CSOr,5,10,0,0,0,0,0,0
CSDotName,1218,1218,0,0,0,0,0,0
CSSingleAccess,468,3327,0,0,0,0,0,0
CSForeach,2,26,0,0,0,0,0,0
CSAliasTypeRef,406,1564,0,0,0,0,0,0
CSLiteral,1229,7197,0,0,0,0,0,0
CSPlus,56,56,0,0,0,0,0,0
CSProperty,3,69,0,0,0,0,0,0
CSAttrArgList,20,43,0,0,0,0,0,0
CSArg,1115,0,0,0,0,0,0,0
CSLocalVar,29,0,0,0,0,0,0,0
CSPPRegion,7,301,0,0,0,0,0,0
CSAttrSection,9,18,0,0,0,0,0,0
CSAliasedName,15,120,0,0,0,0,0,0
CSMethod,46,946,0,0,0,0,0,0
CSAttribute,21,0,0,0,0,0,0,0
CSAnd,8,16,0,0,0,0,0,0
CSVarInit,40,40,0,0,0,0,0,0
CSNewArrayTypeArray,3,9,0,0,0,0,0,0
CSNotEql,7,14,0,0,0,0,0,0
CSIf,19,76,0,0,0,0,0,0
CSArrayTypeRef,3,0,0,0,0,0,0,0
CSBaseMemberAccess,7,7,0,0,0,0,0,0
CSVarDeclarator,127,966,0,0,0,0,0,0
CSTypeBase,8,8,0,0,0,0,0,0
CSExprElementAccess,13,0,0,0,0,0,0,0
CSThisMemberAccess,981,981,0,0,22,22,0,0
CSThis,1003,4012,0,0,0,0,0,0
CSPPEndRegion,7,70,0,0,0,0,0,0
CSParamList,54,136,0,0,0,0,0,0
CSVar,1,3,0,0,0,0,0,0
CSIndexList,13,26,0,0,0,0,0,0
CSArrayInitializer,3,14,0,0,0,0,0,0
CSBlock,86,172,0,0,0,0,0,0
CSNested,658,1316,0,0,0,0,0,0
CSBase,7,28,0,0,0,0,0,0
CSArgList,673,1969,0,0,0,0,0,0
CSGet,3,9,0,0,0,0,0,0
CSEql,17,34,0,0,0,0,0,0
CSReturn,3,21,0,0,0,0,0,0
CSCatch,1,5,0,0,0,0,0,0
CSAssign,813,841,0,0,0,0,0,0
CSUsingNamespace,74,444,0,0,0,0,0,0
CSAliasedQualifiedAccess,3,27,0,0,0,0,0,0
CSLocalVarStat,29,29,0,0,0,0,0,0
CSTypeRef,601,0,0,0,12,0,0,0
CSTry,1,3,0,0,0,0,0,0
CSCall,253,0,0,0,2,0,0,0
CSMemberAccess,2636,19531,0,0,0,0,0,0
CSCompilationUnit,18,0,0,0,0,0,0,0
CSPropBody,3,6,0,0,0,0,0,0
CSNamespace,17,187,0,0,0,0,0,0
CSCast,325,650,0,0,0,0,0,0
CSAttrArg,20,0,0,0,0,0,0,0
CSMult,1,1,0,0,0,0,0,0
CSClass,17,398,0,0,0,0,0,0
CSSet,1,3,0,0,0,0,0,0
CSGt,1,1,0,0,0,0,0,0
CSField,97,767,0,0,0,0,0,0
